FID	IID	Sex	SVL..cm.	RHL..cm.	relRHL.SVL	relRHL.SVL.Sex
SD-06-0051_S67_L001	SD-06-0051_S67_L001	F	7	2.7	-0.21943116	-0.181217696
SD-06-0052_S79_L001	SD-06-0052_S79_L001	F	7.1	2.9	-0.056887295	-0.018979274
SD-06-0053_S11_L001	SD-06-0053_S11_L001	M	5.1	2.3	0.092235413	0.041729671
SD-06-0054_S141_L002	SD-06-0054_S141_L002	M	5.7	2.6	0.167498601	0.115160203
SD-06-0055_S140_L002	SD-06-0055_S140_L002	M	6.1	2.7	0.117674059	0.064113891
SD-06-0056_S6_L001	SD-06-0056_S6_L001	M	6.8	2.6	-0.244518889	-0.300217155
SD-06-0057_S63_L001	SD-06-0057_S63_L001	F	6.5	2.7	-0.032150483	0.007590194
SD-06-0058_S7_L001	SD-06-0058_S7_L001	M	7	3	0.08056884	0.024259689
SD-06-0059_S71_L001	SD-06-0059_S71_L001	F	7.3	3	-0.031799566	0.00549757
SD-06-0127_S18_L001	SD-06-0127_S18_L001	M	6.6	2.6	-0.169606618	-0.224693999
SD-07-0004_S84_L001	SD-07-0004_S84_L001	F	5.7	2.4	-0.032501399	0.009682818
SD-07-0301_S91_L001	SD-07-0301_S91_L001	F	6.8	2.8	-0.044518889	-0.00569454
SD-07-0302_S83_L001	SD-07-0302_S83_L001	F	5.5	2.4	0.042410872	0.085205974
SD-07-0304_S98_L002	SD-07-0304_S98_L002	F	6.1	2.5	-0.082325941	-0.041363494
SD-07-0305_S2_L001	SD-07-0305_S2_L001	M	5.6	2.4	0.004954736	-0.047078219
SD-07-0306_S181_L002	SD-07-0306_S181_L002	F	6.5	2.8	0.067849517	0.107590194
SD-07-0308_S93_L001	SD-07-0308_S93_L001	F	5.6	2.3	-0.095045264	-0.052555604
SD-07-0309_S88_L001	SD-07-0309_S88_L001	F	6.5	2.6	-0.132150483	-0.092409806
SD-07-0311_S5_L001	SD-07-0311_S5_L001	M	7.4	3.2	0.130744298	0.073213376
SD-07-0312_S36_L001	SD-07-0312_S36_L001	M	5.6	2.5	0.104954736	0.052921781
SD-07-0313_S142_L002	SD-07-0313_S142_L002	M	5.2	2.3	0.054779278	0.003968093
SD-07-0314_S100_L002	SD-07-0314_S100_L002	F	6.5	2.6	-0.132150483	-0.092409806
SD-07-0315_S87_L001	SD-07-0315_S87_L001	F	7.3	2.9	-0.131799566	-0.09450243
SD-07-0316_S139_L002	SD-07-0316_S139_L002	M	5.3	2.3	0.017323143	-0.033793485
SD-07-0317_S37_L001	SD-07-0317_S37_L001	M	5.4	2.4	0.079867007	0.028444937
SD-07-0319_S95_L001	SD-07-0319_S95_L001	F	6.3	2.7	0.042761788	0.08311335
SD-07-0320_S103_L002	SD-07-0320_S103_L002	F	6.2	2.4	-0.219782076	-0.179125072
SD-07-0321_S25_L001	SD-07-0321_S25_L001	M	5.6	2.4	0.004954736	-0.047078219
SD-07-0323_S22_L001	SD-07-0323_S22_L001	M	5.4	2.5	0.179867007	0.128444937
SD-07-0324_S92_L001	SD-07-0324_S92_L001	F	7.4	3	-0.069255702	-0.032264008
SD-07-0325_S104_L002	SD-07-0325_S104_L002	F	6.4	2.8	0.105305653	0.145351772
SD-07-0327_S33_L001	SD-07-0327_S33_L001	M	6.8	3	0.155481111	0.099782845
SD-07-0328_S35_L001	SD-07-0328_S35_L001	M	5.3	2.4	0.117323143	0.066206515
SD-07-0329_S23_L001	SD-07-0329_S23_L001	M	5.5	2.5	0.142410872	0.090683359
SD-07-0330_S21_L001	SD-07-0330_S21_L001	M	6.2	2.8	0.180217924	0.126352313
SD-07-0331_S85_L001	SD-07-0331_S85_L001	F	5.7	2.4	-0.032501399	0.009682818
SD-07-0333_S96_L001	SD-07-0333_S96_L001	F	6.9	2.9	0.018024976	0.056543882
SD-07-0334_S213_L003	SD-07-0334_S213_L003	M	5.8	2.5	0.030042465	-0.022601375
SD-07-0336_S105_L002	SD-07-0336_S105_L002	F	6.7	2.8	-0.007062754	0.032067038
SD-07-0337_S82_L001	SD-07-0337_S82_L001	F	5.5	2.2	-0.157589128	-0.114794026
SD-07-0339_S106_L002	SD-07-0339_S106_L002	F	6.6	2.7	-0.069606618	-0.030171384
SD-07-0340_S97_L002	SD-07-0340_S97_L002	F	6.3	2.7	0.042761788	0.08311335
SD-07-0341_S86_L001	SD-07-0341_S86_L001	F	5.5	2.4	0.042410872	0.085205974
SD-07-0342_S89_L001	SD-07-0342_S89_L001	F	6	2.5	-0.044869805	-0.003601916
SD-07-0343_S215_L003	SD-07-0343_S215_L003	M	6.5	2.7	-0.032150483	-0.086932421
SD-07-0344_S30_L001	SD-07-0344_S30_L001	M	5.1	2.4	0.192235413	0.141729671
SD-07-0345_S138_L002	SD-07-0345_S138_L002	M	5.3	2.4	0.117323143	0.066206515
SD-07-0346_S81_L001	SD-07-0346_S81_L001	F	7.1	2.9	-0.056887295	-0.018979274
SD-07-0348_S99_L002	SD-07-0348_S99_L002	F	6.7	2.8	-0.007062754	0.032067038
SD-07-0350_S180_L002	SD-07-0350_S180_L002	F	5.6	2.4	0.004954736	0.047444396
SD-07-0351_S31_L001	SD-07-0351_S31_L001	M	5.8	2.6	0.130042465	0.077398625
SD-07-0352_S94_L001	SD-07-0352_S94_L001	F	5.9	2.4	-0.10741367	-0.065840338
SD-07-0354_S101_L002	SD-07-0354_S101_L002	F	6.1	2.6	0.017674059	0.058636506
SD-07-0356_S4_L001	SD-07-0356_S4_L001	M	5.7	2.4	-0.032501399	-0.084839797
SD-07-0357_S90_L001	SD-07-0357_S90_L001	F	6.2	2.8	0.180217924	0.220874928
SD-07-0358_S102_L002	SD-07-0358_S102_L002	F	6	2.5	-0.044869805	-0.003601916
SD-07-0360_S145_L002	SD-07-0360_S145_L002	M	5.9	2.5	-0.00741367	-0.060362953
SD-07-0527_S107_L002	SD-07-0527_S107_L002	F	5.8	2.4	-0.069957535	-0.02807876
SD-08-0025_S149_L002	SD-08-0025_S149_L002	M	6.3	2.8	0.142761788	0.088590735
SD-08-0055_S266_L003	SD-08-0055_S266_L003	F	7.4	3	-0.069255702	-0.032264008
SD-08-0063_S39_L001	SD-08-0063_S39_L001	M	5.9	2.7	0.19258633	0.139637047
SD-08-0065_S267_L003	SD-08-0065_S267_L003	F	6	2.6	0.055130195	0.096398084
SD-08-0068_S24_L001	SD-08-0068_S24_L001	M	5.5	2.5	0.142410872	0.090683359
SD-08-0071_S121_L002	SD-08-0071_S121_L002	F	5.9	2.5	-0.00741367	0.034159662
SD-08-0077_S112_L002	SD-08-0077_S112_L002	F	6.3	2.7	0.042761788	0.08311335
SD-08-0078_S8_L001	SD-08-0078_S8_L001	M	6.9	3.2	0.318024976	0.262021267
SD-08-0080_S118_L002	SD-08-0080_S118_L002	F	6.4	2.8	0.105305653	0.145351772
SD-08-0081_S41_L001	SD-08-0081_S41_L001	M	6.5	2.9	0.167849517	0.113067579
SD-08-0085_S116_L002	SD-08-0085_S116_L002	F	6.2	2.7	0.080217924	0.120874928
SD-08-0086_S111_L002	SD-08-0086_S111_L002	F	7	2.9	-0.01943116	0.018782304
SD-08-0088_S114_L002	SD-08-0088_S114_L002	F	6.2	2.6	-0.019782076	0.020874928
SD-08-0089_S49_L001	SD-08-0089_S49_L001	M	6.8	3.1	0.255481111	0.199782845
SD-08-0091_S183_L002	SD-08-0091_S183_L002	F	6.2	2.7	0.080217924	0.120874928
SD-08-0092_S264_L003	SD-08-0092_S264_L003	F	7.4	3	-0.069255702	-0.032264008
SD-08-0093_S150_L002	SD-08-0093_S150_L002	M	5.8	2.7	0.230042465	0.177398625
SD-08-0095_S27_L001	SD-08-0095_S27_L001	M	6.6	3.1	0.330393382	0.275306001
SD-08-0097_S45_L001	SD-08-0097_S45_L001	M	5.8	2.7	0.230042465	0.177398625
SD-08-0098_S29_L001	SD-08-0098_S29_L001	M	6.1	2.6	0.017674059	-0.035886109
SD-08-0100_S38_L001	SD-08-0100_S38_L001	M	6.8	3	0.155481111	0.099782845
SD-08-0101_S345_L004	SD-08-0101_S345_L004	F	5.8	2.3	-0.169957535	-0.12807876
SD-08-0102_S182_L002	SD-08-0102_S182_L002	F	7	2.8	-0.11943116	-0.081217696
SD-08-0103_S120_L002	SD-08-0103_S120_L002	F	7	2.8	-0.11943116	-0.081217696
SD-08-0104_S108_L002	SD-08-0104_S108_L002	F	6.6	2.9	0.130393382	0.169828616
SD-08-0105_S28_L001	SD-08-0105_S28_L001	M	5.5	2.9	0.542410872	0.490683359
SD-08-0106_S115_L002	SD-08-0106_S115_L002	F	7.1	3	0.043112705	0.081020726
SD-08-0108_S146_L002	SD-08-0108_S146_L002	M	6.9	3.2	0.318024976	0.262021267
SD-08-0109_S147_L002	SD-08-0109_S147_L002	M	5.3	2.4	0.117323143	0.066206515
SD-08-0110_S143_L002	SD-08-0110_S143_L002	M	5.2	2.3	0.054779278	0.003968093
SD-08-0111_S117_L002	SD-08-0111_S117_L002	F	5.9	2.4	-0.10741367	-0.065840338
SD-08-0112_S113_L002	SD-08-0112_S113_L002	F	7	2.9	-0.01943116	0.018782304
SD-08-0113_S119_L002	SD-08-0113_S119_L002	F	6	2.6	0.055130195	0.096398084
SD-08-0114_S144_L002	SD-08-0114_S144_L002	M	5.8	2.5	0.030042465	-0.022601375
SD-08-0116_S26_L001	SD-08-0116_S26_L001	M	5.6	2.4	0.004954736	-0.047078219
SD-08-0117_S54_L001	SD-08-0117_S54_L001	M	6.8	3.1	0.255481111	0.199782845
SD-08-0118_S20_L001	SD-08-0118_S20_L001	M	5.5	2.4	0.042410872	-0.009316641
SD-08-0119_S52_L001	SD-08-0119_S52_L001	M	5.8	2.5	0.030042465	-0.022601375
SD-08-0120_S110_L002	SD-08-0120_S110_L002	F	7	2.8	-0.11943116	-0.081217696
SD-08-0121_S265_L003	SD-08-0121_S265_L003	F	6.8	2.9	0.055481111	0.09430546
SD-08-0122_S43_L001	SD-08-0122_S43_L001	M	5.3	2.3	0.017323143	-0.033793485
SD-08-0123_S34_L001	SD-08-0123_S34_L001	M	7.1	3.1	0.143112705	0.086498111
SD-08-0124_S46_L001	SD-08-0124_S46_L001	M	5.2	2.4	0.154779278	0.103968093
SD-08-0125_S122_L002	SD-08-0125_S122_L002	F	5.5	2.3	-0.057589128	-0.014794026
SD-08-0126_S109_L002	SD-08-0126_S109_L002	F	6.4	2.7	0.005305653	0.045351772
SD-08-0127_S184_L002	SD-08-0127_S184_L002	F	5.8	2.4	-0.069957535	-0.02807876
SD-08-0128_S32_L001	SD-08-0128_S32_L001	M	5.6	2.4	0.004954736	-0.047078219
SD-08-0130_S40_L001	SD-08-0130_S40_L001	M	5.8	2.6	0.130042465	0.077398625
SD-08-0131_S336_L004	SD-08-0131_S336_L004	M	5.4	2.4	0.079867007	0.028444937
SD-08-0151_S19_L001	SD-08-0151_S19_L001	M	6	2.6	0.055130195	0.001875469
SD-09-0001_S269_L003	SD-09-0001_S269_L003	F	5.8	2.5	0.030042465	0.07192124
SD-09-0004_S48_L001	SD-09-0004_S48_L001	M	5.2	2.3	0.054779278	0.003968093
SD-09-0006_S57_L001	SD-09-0006_S57_L001	M	6.6	2.9	0.130393382	0.075306001
SD-09-0008_S123_L002	SD-09-0008_S123_L002	F	6.5	2.8	0.067849517	0.107590194
SD-09-0009_S53_L001	SD-09-0009_S53_L001	M	6	2.8	0.255130195	0.201875469
SD-09-0013_S148_L002	SD-09-0013_S148_L002	M	5.8	2.6	0.130042465	0.077398625
SD-09-0014_S126_L002	SD-09-0014_S126_L002	M	6.3	2.8	0.142761788	0.088590735
SD-09-0016_S50_L001	SD-09-0016_S50_L001	M	5.6	2.5	0.104954736	0.052921781
SD-09-0019_S152_L002	SD-09-0019_S152_L002	M	5.9	2.6	0.09258633	0.039637047
SD-09-0020_S337_L004	SD-09-0020_S337_L004	M	6.6	2.8	0.030393382	-0.024693999
SD-09-0025_S134_L002	SD-09-0025_S134_L002	F	7.1	2.9	-0.056887295	-0.018979274
SD-09-0026_S44_L001	SD-09-0026_S44_L001	M	6	2.6	0.055130195	0.001875469
SD-09-0027_S216_L003	SD-09-0027_S216_L003	M	5.6	2.5	0.104954736	0.052921781
SD-09-0028_S124_L002	SD-09-0028_S124_L002	F	6	2.6	0.055130195	0.096398084
SD-09-0031_S153_L002	SD-09-0031_S153_L002	M	5.6	2.5	0.104954736	0.052921781
SD-09-0032_S151_L002	SD-09-0032_S151_L002	M	5.1	2.2	-0.007764587	-0.058270329
SD-09-0042_S132_L002	SD-09-0042_S132_L002	F	5.9	2.5	-0.00741367	0.034159662
SD-09-0045_S127_L002	SD-09-0045_S127_L002	F	6.1	2.6	0.017674059	0.058636506
SD-09-0047_S187_L002	SD-09-0047_S187_L002	F	6.3	2.6	-0.057238212	-0.01688665
